Date,District,Price_USD
04_2020,մալաթիա,58024.95516304348
04_2020,մալաթիա_սեբաստիա,68154.77835051547
04_2020,նոր_նորք,72831.92389006342
04_2020,նորք,54562.48980012102
04_2020,շենգավիթ,54172.13814217954
04_2020,քանաքեռ,61764.05916113857
04_2020,քանաքեռ_զեյթուն,77545.0276243094
12_2020,աջափնյակ,68321.89491150442
12_2020,ավան,73911.5402792696
12_2020,արաբկիր,106251.22778581765
12_2020,դավթաշեն,98374.45562822346
12_2020,էրեբունի,61300.32061068702
12_2020,կենտրոն,178265.05078168164
12_2020,մալաթիա,59239.51669316375
12_2020,մալաթիա_սեբաստիա,68014.94930875576
12_2020,նոր_նորք,70758.34042553192
12_2020,նորք,55622.43941423895
12_2020,շենգավիթ,62218.21756487026
12_2020,քանաքեռ,64255.04967602592
12_2020,քանաքեռ_զեյթուն,79983.82352941176
02_2022,աջափնյակ,65875.6020278834
02_2022,ավան,81063.75634920804
02_2022,արաբկիր,111262.39715526483
02_2022,դավթաշեն,97798.39733826515
02_2022,էրեբունի,62921.61016949153
02_2022,կենտրոն,187944.26664435214
02_2022,մալաթիա,62349.12370465365
02_2022,մալաթիա_սեբաստիա,68384.50625
02_2022,նոր_նորք,74825.91954022988
02_2022,նորք,55894.337979094074
02_2022,շենգավիթ,60150.41340782123
02_2022,քանաքեռ,66540.07392996109
02_2022,քանաքեռ_զեյթուն,92350.92838196286
11_2020,աջափնյակ,65269.61371527778
11_2020,ավան,79223.71390205056
11_2020,արաբկիր,107672.52168013726
11_2020,դավթաշեն,94787.72574123989
11_2020,էրեբունի,60953.39955357143
11_2020,կենտրոն,176307.53404355046
11_2020,մալաթիա,60160.36
11_2020,մալաթիա_սեբաստիա,67389.48214285714
11_2020,նոր_նորք,71345.5744680851
11_2020,նորք,53489.35348609699
11_2020,շենգավիթ,55490.13606708349
11_2020,քանաքեռ,66155.8036809816
11_2020,քանաքեռ_զեյթուն,78794.44444444444
03_2022,աջափնյակ,67846.09375
03_2022,ավան,87399.71488763895
03_2022,արաբկիր,111512.0892213687
03_2022,դավթաշեն,99394.799
03_2022,էրեբունի,64664.0
03_2022,կենտրոն,194402.5130645241
03_2022,մալաթիա,62759.39685449443
03_2022,մալաթիա_սեբաստիա,68236.9649122807
03_2022,մարաշ,110000.0
03_2022,նոր_նորք,75854.52513966481
03_2022,նորք,58183.30838323353
03_2022,շենգավիթ,59326.7718579235
03_2022,քանաքեռ,67126.55729166667
03_2022,քանաքեռ_զեյթուն,94181.86274509804
05_2020,աջափնյակ,58947.603068072865
05_2020,ավան,71062.16847728222
05_2020,արաբկիր,104796.16926786695
05_2020,դավթաշեն,92427.3162409469
